Date,Open,High,Low,Close,Adj Close,Volume
2016-11-17,83.720001,84.610001,83.300003,83.830002,76.043694,2294800
2016-11-18,83.889999,84.180000,83.529999,83.639999,75.871346,2220300
2016-11-21,84.480003,84.930000,83.970001,84.860001,76.978043,2118400
2016-11-22,84.959999,85.629997,84.169998,84.879997,76.996162,2853900
2016-11-23,84.839996,85.599998,84.480003,85.059998,77.159447,2681300
2016-11-25,84.820000,84.919998,84.510002,84.889999,77.005234,972200
2016-11-28,84.800003,85.029999,84.019997,84.089996,76.279541,3389300
2016-11-29,83.360001,83.500000,82.300003,82.389999,74.737442,2150500
2016-11-30,83.099998,83.809998,82.330002,83.080002,75.363365,4999400
2016-12-01,83.919998,85.800003,83.599998,84.980003,77.086899,3535500
2016-12-02,84.750000,85.699997,84.699997,84.879997,76.996162,2104400
2016-12-05,85.379997,85.889999,84.889999,85.440002,77.504181,2811300
2016-12-06,85.129997,85.430000,84.559998,84.910004,77.023384,2564200
2016-12-07,85.080002,87.099998,84.940002,87.010002,78.928337,2687000
2016-12-08,87.059998,87.970001,86.919998,87.629997,79.490746,2240700
2016-12-09,87.690002,87.690002,86.860001,87.160004,79.064392,1513000
2016-12-12,88.000000,88.480003,86.730003,87.300003,79.191406,1844200
2016-12-13,87.739998,88.870003,87.330002,88.169998,79.980583,1976900
2016-12-14,87.650002,88.059998,86.349998,86.419998,78.393135,2667500
2016-12-15,86.120003,87.089996,85.930000,86.570000,78.529205,2133800
2016-12-16,86.800003,87.559998,86.540001,87.459999,79.336540,2295800
2016-12-19,87.190002,87.440002,86.849998,87.169998,79.073463,1516800
2016-12-20,87.379997,87.489998,86.669998,86.940002,78.864853,1483700
2016-12-21,87.110001,87.230003,86.559998,86.779999,78.719696,1512600
2016-12-22,86.699997,87.930000,86.440002,87.559998,79.427246,1456700
2016-12-23,87.279999,87.900002,87.279999,87.720001,79.572388,948800
2016-12-27,87.870003,88.139999,87.610001,87.739998,79.590530,926600
2016-12-28,87.730003,87.959999,87.029999,87.120003,79.028122,1359800
2016-12-29,87.010002,87.489998,86.360001,86.650002,78.601784,1035700
2016-12-30,86.650002,87.050003,86.010002,86.410004,78.384071,1374800
2017-01-03,87.309998,87.919998,86.650002,86.790001,78.728752,2257900
2017-01-04,87.169998,88.260002,87.080002,87.260002,79.155121,2306900
2017-01-05,87.260002,88.120003,86.660004,86.739998,78.683395,2056300
2017-01-06,86.779999,86.970001,85.279999,85.400002,77.467873,1989400
2017-01-09,84.910004,84.910004,83.750000,84.019997,76.216049,2581900
2017-01-10,84.000000,85.180000,83.589996,83.760002,75.980202,3697700
2017-01-11,83.910004,85.599998,83.800003,84.889999,77.005234,3543500
2017-01-12,85.089996,85.120003,83.510002,84.339996,76.506332,2169400
2017-01-13,84.059998,84.160004,83.070000,83.290001,75.553864,2242900
2017-01-17,83.209999,84.650002,83.080002,83.559998,75.798790,2379700
2017-01-18,83.519997,84.510002,83.500000,84.129997,76.315842,1967400
2017-01-19,83.949997,84.080002,82.680000,82.989998,75.281715,1929600
2017-01-20,83.489998,84.029999,82.580002,83.040001,75.327057,2068200
2017-01-23,83.279999,83.370003,82.019997,82.199997,74.565102,2033700
2017-01-24,82.639999,84.459999,82.550003,84.190002,76.370262,2398500
2017-01-25,84.709999,85.290001,84.470001,85.000000,77.105011,1707900
2017-01-26,85.180000,85.339996,84.029999,84.239998,76.415604,1618200
2017-01-27,84.010002,84.349998,82.500000,82.769997,75.082153,2099300
2017-01-30,82.500000,82.750000,81.690002,82.330002,74.683022,2375000
2017-01-31,82.000000,82.370003,81.150002,81.620003,74.038971,2740200
2017-02-01,82.110001,82.320000,80.360001,80.750000,73.249763,3030200
2017-02-02,80.930000,81.260002,80.230003,81.050003,73.521912,3386800
2017-02-03,80.500000,81.199997,78.820000,79.949997,72.524078,3672500
2017-02-06,80.000000,80.190002,79.000000,79.139999,71.789322,3016700
2017-02-07,79.099998,79.139999,77.809998,78.550003,71.254112,3255400
2017-02-08,78.250000,79.019997,77.809998,78.860001,71.535324,3042800
2017-02-09,78.860001,79.629997,78.860001,79.250000,71.889099,2596900
2017-02-10,79.419998,79.980003,79.379997,79.860001,72.442436,2030700
2017-02-13,79.860001,80.120003,79.570000,79.900002,72.478722,2111900
2017-02-14,79.980003,80.099998,79.150002,79.980003,72.551285,2543900
2017-02-15,79.730003,80.389999,79.660004,80.080002,72.642006,2272800
2017-02-16,79.599998,79.690002,78.400002,78.500000,71.773422,2939200
2017-02-17,78.489998,79.239998,78.349998,78.660004,71.919708,2219200
2017-02-21,79.080002,79.389999,78.760002,79.029999,72.257988,2833700
2017-02-22,79.000000,79.000000,78.220001,78.379997,71.663696,2017500
2017-02-23,79.000000,79.349998,78.360001,78.610001,71.873993,1864600
2017-02-24,78.389999,78.489998,77.690002,78.029999,71.343697,2225500
2017-02-27,78.199997,79.190002,78.000000,78.860001,72.102562,2648400
2017-02-28,78.779999,79.139999,78.110001,78.190002,71.489983,3243100
2017-03-01,78.910004,80.029999,78.879997,79.370003,72.568863,3204500
2017-03-02,79.279999,79.349998,78.160004,78.330002,71.617989,2550400
2017-03-03,78.500000,79.029999,78.180000,78.339996,71.627113,1737700
2017-03-06,78.160004,78.889999,78.010002,78.720001,71.974556,1848200
2017-03-07,78.610001,78.809998,77.389999,77.480003,70.840813,2679200
2017-03-08,77.610001,78.309998,77.129997,77.250000,70.630524,2817600
2017-03-09,77.019997,77.400002,76.279999,76.839996,70.255653,2684500
2017-03-10,77.180000,78.980003,76.589996,78.860001,72.102562,5038100
2017-03-13,78.910004,79.489998,78.709999,79.010002,72.239716,2178700
2017-03-14,78.500000,78.769997,78.160004,78.510002,71.782562,2343400
2017-03-15,78.940002,80.279999,78.940002,80.150002,73.282028,2411800
2017-03-16,80.059998,80.099998,79.419998,79.690002,72.861458,2474600
2017-03-17,79.860001,80.089996,79.629997,79.940002,73.090027,2799600
2017-03-20,79.879997,79.989998,79.099998,79.410004,72.605438,2285400
2017-03-21,79.489998,79.779999,78.260002,78.599998,71.864845,4631300
2017-03-22,78.300003,78.940002,77.839996,78.830002,72.075150,3026800
2017-03-23,78.570000,79.190002,78.430000,78.480003,71.755119,2211800
2017-03-24,78.419998,78.669998,77.120003,77.269997,70.648811,2359700
2017-03-27,76.970001,77.790001,76.660004,77.250000,70.630524,2089300
2017-03-28,77.410004,78.110001,77.080002,77.919998,71.243111,2388500
2017-03-29,77.809998,78.500000,77.540001,78.320000,71.608841,2282000
2017-03-30,78.379997,78.849998,77.940002,78.589996,71.855698,3241500
2017-03-31,78.489998,79.430000,78.410004,79.220001,72.431717,2744100
2017-04-03,79.089996,79.220001,78.000000,78.290001,71.581413,1711600
2017-04-04,78.500000,78.550003,77.669998,78.430000,71.709404,1368100
2017-04-05,78.739998,79.480003,77.529999,77.570000,70.923103,2867200
2017-04-06,77.589996,77.650002,76.650002,76.879997,70.292229,3322400
2017-04-07,76.959999,77.660004,76.529999,77.150002,70.539085,2484300
2017-04-10,77.510002,78.650002,77.500000,78.050003,71.361977,2503900
2017-04-11,77.809998,77.970001,77.150002,77.879997,71.206535,2042900
2017-04-12,78.129997,78.260002,77.260002,77.379997,70.749382,2006100
2017-04-13,77.260002,77.690002,76.459999,76.669998,70.100227,2606600
2017-04-17,76.660004,77.010002,76.570000,77.010002,70.411102,1548800
2017-04-18,76.650002,76.989998,75.639999,75.930000,69.423630,2326300
2017-04-19,75.940002,76.150002,75.139999,75.330002,68.875046,2511300
2017-04-20,75.500000,76.370003,75.330002,75.750000,69.259071,1682300
2017-04-21,75.599998,76.589996,75.599998,76.349998,69.807640,2561100
2017-04-24,77.120003,77.589996,76.739998,77.510002,70.868256,2483300
